"timeMillisSpent","score"
1,"0hard/-2258soft"
2,"0hard/-2252soft"
3,"0hard/-2077soft"
3,"0hard/-1743soft"
3,"0hard/-1369soft"
3,"0hard/-1320soft"
3,"0hard/-1233soft"
9,"0hard/-898soft"
10,"0hard/-655soft"
22,"0hard/-648soft"
22,"0hard/-628soft"
33,"0hard/-450soft"
37,"0hard/-306soft"
37,"0hard/-304soft"
37,"0hard/-251soft"
52,"0hard/-97soft"
52,"0hard/-43soft"
70,"0hard/24soft"
78,"0hard/86soft"
78,"0hard/169soft"
85,"0hard/212soft"
103,"0hard/227soft"
103,"0hard/589soft"
119,"0hard/615soft"
154,"0hard/829soft"
427,"0hard/889soft"
704,"0hard/906soft"
735,"0hard/1056soft"
968,"0hard/1170soft"
1373,"0hard/1180soft"
1403,"0hard/1404soft"
1426,"0hard/1521soft"
4237,"0hard/1618soft"
7862,"0hard/1640soft"
