"timeMillisSpent","score"
17,"0hard/-1203soft"
28,"0hard/-691soft"
37,"0hard/-227soft"
47,"0hard/191soft"
56,"0hard/381soft"
65,"0hard/724soft"
74,"0hard/772soft"
80,"0hard/813soft"
90,"0hard/952soft"
127,"0hard/976soft"
135,"0hard/1030soft"
153,"0hard/1039soft"
162,"0hard/1064soft"
169,"0hard/1114soft"
243,"0hard/1132soft"
327,"0hard/1138soft"
416,"0hard/1143soft"
1054,"0hard/1167soft"
1071,"0hard/1217soft"
1079,"0hard/1265soft"
1452,"0hard/1432soft"
1462,"0hard/1594soft"
2524,"0hard/1619soft"
2866,"0hard/1633soft"
2906,"0hard/1681soft"
3465,"0hard/1694soft"
4656,"0hard/1923soft"
