"timeMillisSpent","score"
2,"0hard/-2258soft"
2,"0hard/-2252soft"
4,"0hard/-2077soft"
4,"0hard/-1743soft"
4,"0hard/-1369soft"
4,"0hard/-1320soft"
4,"0hard/-1233soft"
9,"0hard/-1128soft"
9,"0hard/-1036soft"
15,"0hard/-845soft"
16,"0hard/-702soft"
17,"0hard/-606soft"
21,"0hard/-530soft"
22,"0hard/-381soft"
36,"0hard/-234soft"
36,"0hard/-167soft"
49,"0hard/-165soft"
49,"0hard/-57soft"
52,"0hard/127soft"
56,"0hard/166soft"
59,"0hard/472soft"
71,"0hard/700soft"
307,"0hard/743soft"
313,"0hard/855soft"
352,"0hard/872soft"
375,"0hard/1052soft"
522,"0hard/1187soft"
549,"0hard/1446soft"
2413,"0hard/1479soft"
2517,"0hard/1626soft"
4914,"0hard/1681soft"
4944,"0hard/1748soft"
