"timeMillisSpent","score"
1,"0hard/-5654soft"
1,"0hard/-5115soft"
2,"0hard/-4946soft"
3,"0hard/-4432soft"
3,"0hard/-3794soft"
7,"0hard/-3509soft"
32,"0hard/-3469soft"
47,"0hard/-3303soft"
111,"0hard/-2970soft"
122,"0hard/-2965soft"
123,"0hard/-2919soft"
220,"0hard/-2854soft"
220,"0hard/-2798soft"
221,"0hard/-2480soft"
226,"0hard/-2478soft"
230,"0hard/-2467soft"
278,"0hard/-2387soft"
394,"0hard/-2270soft"
666,"0hard/-2129soft"
758,"0hard/-2086soft"
1055,"0hard/-2045soft"
1298,"0hard/-1830soft"
1300,"0hard/-1682soft"
1847,"0hard/-1626soft"
1864,"0hard/-1622soft"
1903,"0hard/-1599soft"
2227,"0hard/-1365soft"
3479,"0hard/-1234soft"
4011,"0hard/-965soft"
4021,"0hard/-834soft"
