"timeMillisSpent","score"
1,"0hard/-5654soft"
1,"0hard/-5275soft"
1,"0hard/-4421soft"
1,"0hard/-4092soft"
1,"0hard/-4001soft"
1,"0hard/-3337soft"
11,"0hard/-3039soft"
15,"0hard/-2804soft"
246,"0hard/-2569soft"
292,"0hard/-2514soft"
484,"0hard/-2464soft"
487,"0hard/-2360soft"
516,"0hard/-1978soft"
566,"0hard/-1724soft"
632,"0hard/-1669soft"
778,"0hard/-1589soft"
1005,"0hard/-1501soft"
1331,"0hard/-1463soft"
1636,"0hard/-1435soft"
1701,"0hard/-1192soft"
3056,"0hard/-767soft"
3574,"0hard/-492soft"
