"timeMillisSpent","score"
1,"0hard/-7646soft"
1,"0hard/-7351soft"
1,"0hard/-7341soft"
1,"0hard/-6503soft"
3,"0hard/-6287soft"
3,"0hard/-5881soft"
18,"0hard/-5611soft"
86,"0hard/-5065soft"
133,"0hard/-4963soft"
139,"0hard/-4892soft"
142,"0hard/-4791soft"
206,"0hard/-4441soft"
234,"0hard/-4298soft"
333,"0hard/-4267soft"
630,"0hard/-4052soft"
683,"0hard/-3907soft"
689,"0hard/-3849soft"
806,"0hard/-3847soft"
1488,"0hard/-3761soft"
1664,"0hard/-2937soft"
3539,"0hard/-2647soft"
18662,"0hard/-2372soft"
19131,"0hard/-2370soft"
