"timeMillisSpent","score"
1,"-15hard/-8503soft"
1,"-5hard/-8112soft"
1,"-5hard/-8046soft"
1,"-5hard/-7694soft"
1,"0hard/-7954soft"
9,"0hard/-6907soft"
34,"0hard/-6819soft"
59,"0hard/-6615soft"
92,"0hard/-6096soft"
146,"0hard/-5893soft"
148,"0hard/-5344soft"
148,"0hard/-4259soft"
499,"0hard/-4106soft"
847,"0hard/-3876soft"
870,"0hard/-3729soft"
1118,"0hard/-3628soft"
1551,"0hard/-3564soft"
2825,"0hard/-3173soft"
4391,"0hard/-3064soft"
6155,"0hard/-3059soft"
6794,"0hard/-3005soft"
14265,"0hard/-2795soft"
14916,"0hard/-2739soft"
23904,"0hard/-2490soft"
